Episode,Reward,Loss
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,5.15746249006517,0.0
8,0.0,0.0
9,1.8462525123650735,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,5.2092596251303735,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,1.822845310513839,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.09428569674491882
37,0.0,0.0927085429430008
38,0.0,0.09236354753375053
39,0.0,0.0923711359500885
40,0.0,0.08333578705787659
41,8.065840120043006,0.10361172072589397
42,0.0,0.15013164281845093
43,0.0,0.11311374325305223
44,0.0,0.09212259948253632
45,0.0,0.15030498802661896
46,0.0,0.05661775544285774
47,0.0,0.10504753887653351
48,0.0,0.12645917137463888
49,0.0,0.08708197809755802
50,0.43258555001410687,0.11896568164229393
51,2.529213567919964,0.1220577321946621
52,0.0,0.0357479564845562
53,0.0,0.12923328578472137
54,0.0,0.16459813714027405
55,0.0,0.09718532860279083
56,0.0,0.09227530658245087
57,0.0,0.10351157933473587
58,0.0,0.1022857055068016
59,0.0,0.11178918182849884
60,0.0,0.08590630069375038
61,0.0,0.08201086024443309
62,0.0,0.11075085401535034
63,0.9205011135946881,0.07114127099824448
64,3.8161433851829845,0.09664054401218891
65,0.0,0.11453640460968018
66,0.0857743635062332,0.046324191614985466
67,0.0,0.13791489601135254
68,0.0,0.10179182887077332
69,0.0,0.07835598289966583
70,0.0,0.075162498280406
71,0.0,0.10699205100536346
72,0.0,0.09443406760692596
73,0.3801594895028282,0.09086674451828003
74,0.0,0.06453459709882736
75,0.0,0.053934525698423386
76,0.0,0.13742204010486603
77,0.0,0.038344889879226685
78,0.0,0.09760532528162003
