Episode,Reward,Loss
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,2.7629875559656396,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,1.2339567274659002,0.0
20,0.0,0.0
21,0.715376580364218,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,4.427182292154305,0.0
29,0.0,0.0
30,0.0,0.0
31,1.9053764149259833,0.0
32,1.3819695676009927,0.07140719145536423
33,1.2966825891301528,0.06992749497294426
34,1.5382018730988212,0.07635432481765747
35,0.0,0.07961153984069824
36,0.0,0.06690220162272453
37,6.406130319742828,0.08672489784657955
38,2.701714380942964,0.06660453975200653
39,0.0,0.09453210234642029
40,1.5283788721236187,0.12480150908231735
41,0.0,0.14352276921272278
42,0.0,0.09465416520833969
43,2.130181396433574,0.1317257210612297
44,0.0,0.1422674059867859
45,0.0,0.14842985570430756
46,0.0,0.14895932376384735
47,0.0,0.13553453981876373
48,0.8464704932635074,0.08788480050861835
49,0.0,0.14042462408542633
50,0.0,0.11046909913420677
51,0.0,0.13920000195503235
52,4.678146621636017,0.09397824294865131
53,0.0,0.11619320511817932
54,3.746333760055741,0.12644710888465246
55,0.0,0.10295289009809494
56,0.0,0.08515217900276184
57,0.0,0.09633654356002808
58,2.098450658099636,0.16684191673994064
59,0.0,0.12972554564476013
60,0.0,0.18939511477947235
61,0.0,0.1254277601838112
62,0.0,0.12835659459233284
63,0.0,0.09752531349658966
64,0.0,0.14670710265636444
65,0.0,0.0690673217177391
66,0.0,0.11820628494024277
67,1.6481583201270447,0.10668078809976578
68,2.2138466361669407,0.1546429544687271
69,0.0,0.08619271218776703
70,0.0,0.1841118335723877
71,0.0,0.10243484377861023
72,0.0,0.099791519343853
73,0.0,0.1361558511853218
74,0.0,0.09009625017642975
75,0.0,0.08954216539859772
