,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,213,94,672,55.34,736.40,-86.55,260,749.50,752.70,65,"22,900.00","1,36,890",2.15,2.20,"2,05,465",-1.70,2.20,27.04,"5,26,507","23,776","57,589",
,80,13,80,49.44,688.65,-71.75,65,699.40,704.50,65,"22,950.00","2,55,905",2.60,2.65,"1,88,500",-2.25,2.60,25.96,"4,48,335","7,294","23,621",
,"3,193",-594,"9,138",53.79,651.75,-74.15,65,651.00,653.40,455,"23,000.00","2,29,385",3.05,3.10,"39,000",-3.05,3.10,24.87,"10,06,407","49,573","1,83,420",
,83,40,179,51.00,595.60,-85.00,130,600.50,603.85,65,"23,050.00","60,840",3.60,3.65,"36,530",-3.75,3.60,23.75,"4,27,983","18,134","35,508",
,606,351,"2,619",48.38,550.00,-86.35,65,551.75,554.00,260,"23,100.00","23,530",4.25,4.30,"61,620",-4.70,4.30,22.61,"8,13,360","27,617","1,06,018",
,359,299,"1,851",46.18,503.65,-81.05,130,503.50,505.35,130,"23,150.00","15,795",5.25,5.30,"21,840",-6.15,5.25,21.62,"5,23,138","33,781","66,445",
,"2,675",62,"13,344",43.11,455.00,-72.80,130,454.95,456.35,65,"23,200.00","20,020",6.80,6.85,"18,395",-7.55,6.85,20.83,"12,17,972","22,943","1,43,941",
,731,372,"5,090",40.73,407.60,-81.85,65,408.30,409.00,390,"23,250.00","20,865",9.45,9.50,"35,100",-9.15,9.45,20.14,"7,93,066","16,172","49,427",
,"5,029","2,811","41,145",37.63,362.10,-81.05,195,361.35,362.35,260,"23,300.00",455,12.85,12.90,"20,735",-11.30,12.90,19.38,"14,77,290","63,427","1,48,731",
,"2,814","1,514","31,045",35.51,316.85,-80.55,195,316.40,317.40,455,"23,350.00","1,365",17.90,17.95,"8,060",-12.75,17.90,18.75,"10,24,734","31,091","58,895",
,"12,518","8,314","1,69,566",32.91,274.05,-83.00,130,273.20,273.95,195,"23,400.00","2,860",24.70,24.80,"8,255",-14.40,24.70,18.16,"18,66,669","68,030","1,32,102",
,"8,526","6,048","1,44,487",31.25,232.95,-83.45,130,232.50,233.10,520,"23,450.00","5,525",33.85,33.90,65,-15.40,33.95,17.52,"13,72,195","56,694","78,617",
