policy,value,std_error,exercise_rate,avg_exercise_step
always_hold,7.426462997480733,0.15348981154228616,0.0,
learned_dqn,7.056848328599075,0.09205021825630841,0.9888,46.051375404530745
random,0.717380367045139,0.02280869859876334,1.0,0.9786
immediate_exercise,0.0,0.0,1.0,0.0
