S0,K,T,r,sigma,binomial_price,nn_price,nn_error,bucket
90.0,100.0,1.0,0.02,0.15,11.067145420679866,11.0126095,-0.054535938868342626,ITM put
90.0,100.0,1.0,0.02,0.25,14.23315365157262,14.185459,-0.047694514609728955,ITM put
90.0,100.0,1.0,0.02,0.4,19.534496355611147,19.494463,-0.0400333886922013,ITM put
90.0,100.0,1.0,0.05,0.15,10.267212382417135,10.228537,-0.03867577658217414,ITM put
90.0,100.0,1.0,0.05,0.25,13.041361238505246,13.038491,-0.0028699894207733223,ITM put
90.0,100.0,1.0,0.05,0.4,18.19624148273132,18.24432,0.048078433040164015,ITM put
90.0,100.0,2.0,0.02,0.15,12.191020496094374,12.198451,0.007430546080918532,ITM put
90.0,100.0,2.0,0.02,0.25,16.983931008814782,17.009987,0.026055868626624346,ITM put
90.0,100.0,2.0,0.02,0.4,24.430301543309803,24.483547,0.05324566738355685,ITM put
90.0,100.0,2.0,0.05,0.15,10.675350247724404,10.671857,-0.0034933675364161587,ITM put
90.0,100.0,2.0,0.05,0.25,14.846898344043954,14.853479,0.006581041332022863,ITM put
90.0,100.0,2.0,0.05,0.4,21.975070621999215,22.117119,0.1420482134500034,ITM put
100.0,100.0,0.25,0.02,0.15,2.7727900390853604,2.7064445,-0.06634553720852931,ATM
100.0,100.0,0.25,0.02,0.25,4.750174380375186,4.791753,0.04157843487139612,ATM
100.0,100.0,0.25,0.02,0.4,7.714949486383633,7.8215065,0.10655701386050787,ATM
100.0,100.0,0.25,0.05,0.15,2.501052200391478,2.5764837,0.07543152610998671,ATM
100.0,100.0,0.25,0.05,0.25,4.452835798340915,4.4366856,-0.016150236207125523,ATM
100.0,100.0,0.25,0.05,0.4,7.395764515489214,7.44265,0.046885325819379986,ATM
100.0,100.0,0.5,0.02,0.15,3.8042263940003167,3.8404677,0.03624129742119209,ATM
100.0,100.0,0.5,0.02,0.25,6.585659981637885,6.692231,0.10657119664580605,ATM
100.0,100.0,0.5,0.02,0.4,10.752304261051108,10.8008175,0.04851322857291507,ATM
100.0,100.0,0.5,0.05,0.15,3.296219617652065,3.2987146,0.002495020104282819,ATM
100.0,100.0,0.5,0.05,0.25,6.013430328478295,6.076726,0.06329563129953719,ATM
100.0,100.0,0.5,0.05,0.4,10.124661495534435,10.097802,-0.02685933336402435,ATM
100.0,100.0,1.0,0.02,0.15,5.153663853157249,5.2475786,0.0939147677533958,ATM
100.0,100.0,1.0,0.02,0.25,9.0475852984223,9.092311,0.044725607034243,ATM
100.0,100.0,1.0,0.02,0.4,14.869756522264709,14.858149,-0.011607947435607002,ATM
100.0,100.0,1.0,0.05,0.15,4.226797852513209,4.1796894,-0.04710844516457602,ATM
100.0,100.0,1.0,0.05,0.25,7.963610876676657,7.955453,-0.008157957670309024,ATM
100.0,100.0,1.0,0.05,0.4,13.646911065763575,13.658167,0.011255819612401297,ATM
100.0,100.0,2.0,0.02,0.15,6.85684875429556,6.813858,-0.04299072206899712,ATM
100.0,100.0,2.0,0.02,0.25,12.261478182458541,12.304924,0.04344582877192771,ATM
100.0,100.0,2.0,0.02,0.4,20.306821408382373,20.307407,0.0005859707680180293,ATM
100.0,100.0,2.0,0.05,0.15,5.224425517210073,5.231142,0.006716526857309724,ATM
100.0,100.0,2.0,0.05,0.25,10.256554221795993,10.212309,-0.044245338129000444,ATM
100.0,100.0,2.0,0.05,0.4,17.966556906377388,18.088253,0.12169611486284637,ATM
110.0,100.0,0.25,0.02,0.15,0.33312575868353317,0.35677454,0.0236487800718837,ATM
110.0,100.0,0.25,0.02,0.25,1.5732118594276299,1.5743204,0.0011085760963569502,ATM
110.0,100.0,0.25,0.02,0.4,4.147626404044665,4.2254105,0.07778405738111616,ATM
110.0,100.0,0.25,0.05,0.15,0.2714571638709496,0.27095863,-0.0004985316401909246,ATM
110.0,100.0,0.25,0.05,0.25,1.4252410027541793,1.384426,-0.040815005020109485,ATM
110.0,100.0,0.25,0.05,0.4,3.9244296314310354,3.895512,-0.028917527396611575,ATM
110.0,100.0,0.5,0.02,0.15,0.9529833930496686,0.9829556,0.029972181939650233,ATM
110.0,100.0,0.5,0.02,0.25,3.16668387700932,3.174449,0.007765089970660277,ATM
110.0,100.0,0.5,0.02,0.4,7.117726166249258,7.10231,-0.015415985585195635,ATM
110.0,100.0,0.5,0.05,0.15,0.7436193342003258,0.74447477,0.0008554344382850632,ATM
110.0,100.0,0.5,0.05,0.25,2.79121629520661,2.7767725,-0.014443796122137531,ATM
110.0,100.0,0.5,0.05,0.4,6.613209963120062,6.5498786,-0.06333136586054078,ATM
110.0,100.0,1.0,0.02,0.15,2.0275069167493456,2.040875,0.0133680412889845,ATM
110.0,100.0,1.0,0.02,0.25,5.516120714905351,5.497991,-0.018129629852860596,ATM
110.0,100.0,1.0,0.02,0.4,11.294208433280899,11.28184,-0.01236810887904305,ATM
110.0,100.0,1.0,0.05,0.15,1.487309079428336,1.5011142,0.013805169801095252,ATM
110.0,100.0,1.0,0.05,0.25,4.678215716620272,4.6706343,-0.007581446905916778,ATM
110.0,100.0,1.0,0.05,0.4,10.216811689821638,10.2380905,0.02127882531508085,ATM
110.0,100.0,2.0,0.02,0.15,3.621618990472611,3.566435,-0.05518389182453953,ATM
110.0,100.0,2.0,0.02,0.25,8.80407751660836,8.788615,-0.015462289862753664,ATM
110.0,100.0,2.0,0.02,0.4,16.951834541206953,16.977245,0.025410789603593997,ATM
110.0,100.0,2.0,0.05,0.15,2.440052880019723,2.3515031,-0.08854974624591927,ATM
110.0,100.0,2.0,0.05,0.25,7.067123840177508,7.0319576,-0.03516621383473417,ATM
110.0,100.0,2.0,0.05,0.4,14.76945668413742,14.793383,0.023925960515899902,ATM
120.0,100.0,0.25,0.02,0.15,0.01592033155862058,0.024678439,0.008758107343280665,OTM put
120.0,100.0,0.25,0.02,0.25,0.40231228379288886,0.3854816,-0.016830687799846866,OTM put
120.0,100.0,0.25,0.02,0.4,2.0616362782464943,2.0661736,0.004537275220302561,OTM put
120.0,100.0,0.25,0.05,0.15,0.011725392198593084,0.016144693,0.004419300699203547,OTM put
120.0,100.0,0.25,0.05,0.25,0.35220927883755077,0.3461446,-0.006064692036021835,OTM put
120.0,100.0,0.25,0.05,0.4,1.9269986474301228,1.8872149,-0.039783748367012484,OTM put
120.0,100.0,0.5,0.02,0.15,0.16141001722824835,0.15787028,-0.0035397394658353287,OTM put
120.0,100.0,0.5,0.02,0.25,1.357474621454725,1.360541,0.003066364606371108,OTM put
120.0,100.0,0.5,0.02,0.4,4.5602718082247495,4.497303,-0.06296879919154641,OTM put
120.0,100.0,0.5,0.05,0.15,0.1140715621997819,0.09908047,-0.01499108901519633,OTM put
120.0,100.0,0.5,0.05,0.25,1.1564309802242279,1.136188,-0.020242949981307934,OTM put
120.0,100.0,0.5,0.05,0.4,4.183408086192,4.174177,-0.009230916392195532,OTM put
120.0,100.0,1.0,0.02,0.15,0.6741176016377486,0.64767075,-0.026446855788139212,OTM put
120.0,100.0,1.0,0.02,0.25,3.2507361184100154,3.2695205,0.01878440275392501,OTM put
